Ticker,Environmental,Governance,Social,ESG Score,Environmental Weight,Governance Weight ,Social weight,,,,,,,,,,,,,,,,,,,,
USB UN Equity,1.79,7.96,6.45,16.20,0.11,0.49,0.40,,,,,,,,,,,,,,,,,,,,
V UN Equity,7.85,7.92,3.64,19.40,0.40,0.41,0.19,,,,,,,,,,,,,,,,,,,,
VICI UN Equity,2.25,7.96,4.23,14.44,0.16,0.55,0.29,,,,,,,,,,,,,,,,,,,,
VLO UN Equity,3.56,7.93,5.79,17.28,0.21,0.46,0.34,,,,,,,,,,,,,,,,,,,,
VLTO UN Equity,4.38,6.55,3.77,14.70,0.30,0.45,0.26,,,,,,,,,,,,,,,,,,,,
VMC UN Equity,4.04,6.34,2.67,13.06,0.31,0.49,0.20,,,,,,,,,,,,,,,,,,,,
VRSK UW Equity,3.81,7.62,2.44,13.86,0.27,0.55,0.18,,,,,,,,,,,,,,,,,,,,
VRSN UW Equity,0.00,7.15,3.37,10.52,0.00,0.68,0.32,,,,,,,,,,,,,,,,,,,,
VRT UN Equity,1.35,5.71,9.59,16.65,0.08,0.34,0.58,,,,,,,,,,,,,,,,,,,,
VRTX UW Equity,8.39,7.83,5.16,21.38,0.39,0.37,0.24,,,,,,,,,,,,,,,,,,,,
VST UN Equity,4.39,8.39,3.15,15.94,0.28,0.53,0.20,,,,,,,,,,,,,,,,,,,,
VTR UN Equity,4.13,7.31,7.93,19.37,0.21,0.38,0.41,,,,,,,,,,,,,,,,,,,,
VTRS UW Equity,5.69,7.79,2.49,15.97,0.36,0.49,0.16,,,,,,,,,,,,,,,,,,,,
VZ UN Equity,6.87,7.85,3.79,18.51,0.37,0.42,0.20,,,,,,,,,,,,,,,,,,,,
WAB UN Equity,4.35,6.84,3.21,14.40,0.30,0.48,0.22,,,,,,,,,,,,,,,,,,,,
WAT UN Equity,3.00,7.70,5.01,15.71,0.19,0.49,0.32,,,,,,,,,,,,,,,,,,,,
WBD UW Equity,3.62,6.20,1.82,11.65,0.31,0.53,0.16,,,,,,,,,,,,,,,,,,,,
WDAY UW Equity,4.38,6.48,3.64,14.50,0.30,0.45,0.25,,,,,,,,,,,,,,,,,,,,
